127.0.0.1 - - [15/Nov/2017:17:40:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:40:27 +0530] "GET /jqueryAssignment3/ques1.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:40:38 +0530] "GET /jqueryAssignment3/ques1.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:40:40 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:41:26 +0530] "GET /jqueryAssignment3/ques1.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:42:04 +0530] "GET /jqueryAssignment3/ques1.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:45:01 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:45:08 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:45:12 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:48:47 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:48:59 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:50:35 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:50:55 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:51:15 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:51:57 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:52:14 +0530] "GET /jqueryAssignment3/ques2.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:56:15 +0530] "GET /jqueryAssignment3/ques3.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:56:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:56:22 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:56:35 +0530] "GET /jqueryAssignment3/ques3.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [15/Nov/2017:17:57:04 +0530] "GET /jQueryUtilities/jquery_utilitu_03.html HTTP/1.1" 304 -
