127.0.0.1 - - [18/Nov/2017:08:45:55 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:45:59 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:45:59 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:46:06 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:46:07 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:46:49 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:47:22 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:47:56 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:48:09 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:48:09 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:48:17 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:48:37 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:49:16 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:49:18 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:49:41 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:49:57 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:50:28 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:51:56 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:51:57 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:56:08 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:56:12 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:56:34 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:56:37 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:57:01 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:59:11 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Nov/2017:08:59:58 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:03:01 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:09:40 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:09:44 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:09:54 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:14:13 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:14:22 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:15:28 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:16:27 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:16:41 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:18:00 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:18:31 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:19:32 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:19:36 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:20:08 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:20:17 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:21:30 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:21:37 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:23:59 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:24:53 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:24:56 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:25:06 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:25:09 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:25:15 +0530] "GET /HtmlAssinment3/loginl.html HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:25:19 +0530] "GET /HtmlAssinment3/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:25:23 +0530] "GET /HtmlAssinment3/GroceryMall.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:28:45 +0530] "GET /HtmlAssinment3/ques2.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:28:45 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:09:28:45 +0530] "GET /favicon.ico HTTP/1.1" 404 973
